Const,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Directors,Budget, Box Office ,Verdict
tt0417011,Nerukku Ner,https://www.imdb.com/title/tt0417011/,Movie,7.4,178,1997,"Action, Drama, Romance",2815,Vasanth,"? 21,00,000.00"," ? 69,00,000.00 ",Hit
tt1725993,Kaadhale Nimmadhi,https://www.imdb.com/title/tt1725993/,Movie,5.8,118,1998,"Drama, Romance",298,Indiran,"? 25,00,000.00"," ? 28,00,000.00 ",Flop
tt6358168,Sandhippoma,https://www.imdb.com/title/tt6358168/,Movie,5.7,136,1998,"Drama, Romance",266,Indrakumar,"? 20,00,000.00"," ? 20,00,000.00 ",Flop
tt0332313,Periyanna,https://www.imdb.com/title/tt0332313/,Movie,4.8,148,1999,"Action, Drama, Romance",379,S.A. Chandrashekhar,"? 56,00,000.00"," ? 67,00,000.00 ",Flop
tt0323675,Poovellam Kettuppar,https://www.imdb.com/title/tt0323675/,Movie,6.6,148,1999,"Comedy, Romance",740,Vasanth,"? 45,00,000.00"," ? 70,00,000.00 ",Average
tt4971292,Uyirile Kalanthathu,https://www.imdb.com/title/tt4971292/,Movie,6.4,149,2000,Thriller,378,K.R. Jaya,"? 19,00,000.00"," ? 34,00,000.00 ",Flop
tt0308280,Friends,https://www.imdb.com/title/tt0308280/,Movie,7.9,167,2001,"Action, Comedy, Drama, Romance",6021,Siddique,"? 90,00,000.00"," ? 3,40,00,000.00 ",Super hit
tt0375997,Nandha,https://www.imdb.com/title/tt0375997/,Movie,7.6,165,2001,"Action, Drama",2868,Bala,"? 78,00,000.00"," ? 8,00,00,000.00 ",Super hit
tt6358182,Unnai Ninaithu,https://www.imdb.com/title/tt6358182/,Movie,7.2,163,2002,Drama,1167,Vikraman,"? 1,20,00,000.00"," ? 72,90,00,000.00 ",Super hit
tt5985446,Shree,https://www.imdb.com/title/tt5985446/,Movie,5.4,148,2002,"Action, Drama",355,Pushpavasagan,"? 88,00,000.00"," ? 99,00,000.00 ",Flop
tt0386650,Mounam Pesiyadhe,https://www.imdb.com/title/tt0386650/,Movie,7.7,148,2002,"Drama, Romance",2703,Ameer Sultan,"? 1,50,00,000.00"," ? 9,20,00,000.00 ",Super hit
tt0375878,Kaakha Kaakha,https://www.imdb.com/title/tt0375878/,Movie,8,153,2003,"Action, Crime, Drama, Musical, Thriller",7480,Gautham Vasudev Menon,"? 3,00,00,000.00"," ? 35,00,00,000.00 ",Blockbuster
